2026-07-31T17:03:42.083 WARN  [system-orch:native-driver] native.identity-failed | service="whisper-stt" reason="foreign listener on port 8768: pid 32169 (/opt/homebrew/Cellar/python@3.14/3.14.6/Frameworks/Python.framework/Versions/3.14/Resources/Python.app/Contents/MacOS/Py), this gateway started no child for i..."
2026-07-31T17:03:42.134 WARN  [system-orch:native-driver] native.identity-failed | service="local-tts" reason="foreign listener on port 8770: pid 32264 (/Users/kevinye/.sentient/dev-code/local-tts/venv/bin/python -m local_tts), this gateway started no child for it"
2026-07-31T17:03:43.832 WARN  [system-orch:native-driver] native.identity-failed | service="whisper-stt" reason="foreign listener on port 8768: pid 32169 (/opt/homebrew/Cellar/python@3.14/3.14.6/Frameworks/Python.framework/Versions/3.14/Resources/Python.app/Contents/MacOS/Py), this gateway started no child for i..."
2026-07-31T17:03:43.892 ERROR [system-orch:native-driver] native.port-held | service="whisper-stt" port=8768 holder=32169 reason="port 8768 is held by pid 32169 (/opt/homebrew/Cellar/python@3.14/3.14.6/Frameworks/Python.framework/Versions/3.14/Resources/Python.app/Contents/MacOS/Py) — it is not a child of this gateway, so it was..."
2026-07-31T17:03:43.892 INFO  [system-orch:orchestrator] apply.complete | state="failed" durationMs=58 ready=0 degraded=0 failed=1 blocked=0
2026-07-31T17:03:43.938 WARN  [system-orch:native-driver] native.identity-failed | service="local-tts" reason="foreign listener on port 8770: pid 32264 (/Users/kevinye/.sentient/dev-code/local-tts/venv/bin/python -m local_tts), this gateway started no child for it"
2026-07-31T17:03:43.995 ERROR [system-orch:native-driver] native.port-held | service="local-tts" port=8770 holder=32264 reason="port 8770 is held by pid 32264 (/Users/kevinye/.sentient/dev-code/local-tts/venv/bin/python -m local_tts) — it is not a child of this gateway, so it was NOT signalled"
2026-07-31T17:03:43.995 INFO  [system-orch:orchestrator] apply.complete | state="failed" durationMs=55 ready=0 degraded=0 failed=1 blocked=0
2026-07-31T17:03:50.054 WARN  [system-orch:native-driver] native.identity-failed | service="whisper-stt" reason="foreign listener on port 8768: pid 32169 (/opt/homebrew/Cellar/python@3.14/3.14.6/Frameworks/Python.framework/Versions/3.14/Resources/Python.app/Contents/MacOS/Py), this gateway started no child for i..."
2026-07-31T17:03:50.075 WARN  [system-orch:native-driver] native.identity-failed | service="whisper-stt" reason="foreign listener on port 8768: pid 32169 (/opt/homebrew/Cellar/python@3.14/3.14.6/Frameworks/Python.framework/Versions/3.14/Resources/Python.app/Contents/MacOS/Py), this gateway started no child for i..."
2026-07-31T17:03:50.106 WARN  [system-orch:native-driver] native.identity-failed | service="local-tts" reason="foreign listener on port 8770: pid 32264 (/Users/kevinye/.sentient/dev-code/local-tts/venv/bin/python -m local_tts), this gateway started no child for it — our last child (pid 32274) exited code=1: OS..."
2026-07-31T17:03:50.134 ERROR [system-orch:native-driver] native.port-held | service="whisper-stt" port=8768 holder=32169 reason="port 8768 is held by pid 32169 (/opt/homebrew/Cellar/python@3.14/3.14.6/Frameworks/Python.framework/Versions/3.14/Resources/Python.app/Contents/MacOS/Py) — it is not a child of this gateway, so it was..."
2026-07-31T17:03:50.134 INFO  [system-orch:orchestrator] apply.complete | state="failed" durationMs=57 ready=0 degraded=0 failed=1 blocked=0
2026-07-31T17:03:50.157 WARN  [system-orch:native-driver] native.identity-failed | service="whisper-stt" reason="foreign listener on port 8768: pid 32169 (/opt/homebrew/Cellar/python@3.14/3.14.6/Frameworks/Python.framework/Versions/3.14/Resources/Python.app/Contents/MacOS/Py), this gateway started no child for i..."
